Time,l_per,l_abs,b_per,b_abs
1615978452,25.9,292,13.6,106
1615978948,25.9,292,13.6,106
1615978454,26.2,295,14.5,113
1615978459,26.2,295,14.8,116
1615979222,27.1,305,15.2,119
1615978472,27.6,311,15.5,121
1615978506,28.5,321,16.0,125
1615978555,29.3,330,16.4,128
1615978681,30.4,343,16.9,132
1615978677,31.4,354,17.3,135
1615978805,32.7,368,17.9,140
1615978937,33.6,379,18.5,145
1615979103,33.9,382,18.8,147
1615979363,34.4,388,19.1,149
1615980089,35.8,403,20.7,162
1615980593,35.8,403,20.7,162
