Time,l_per,l_abs,b_per,b_abs
1615978452,25.9,292,13.6,106
1615978798,25.9,292,13.6,106
1615978454,26.0,293,14.3,112
1615978779,26.1,294,14.6,114
1615979530,26.4,298,15.0,117
1615978472,26.7,301,15.1,118
1615978493,28.0,315,15.6,122
1615978534,28.4,320,15.7,123
1615978657,29.6,334,16.1,126
1615980625,30.4,343,16.6,130
1615978788,31.1,351,17.0,133
1615978965,32.5,366,17.6,138
1615979209,33.0,372,18.0,141
1615980794,33.9,382,18.7,146
1615979644,35.2,397,20.2,158
1615979926,35.8,403,20.7,162
