Time,l_per,l_abs,b_per,b_abs
1615972661,37.1,418,20.8,163
1615972666,38.9,439,23.1,181
1615972671,39.7,448,24.6,192
1615972680,39.8,449,24.9,195
1615972688,39.8,449,25.1,196
1615972699,40.6,458,25.4,199
1615972722,41.5,468,25.8,202
1615972750,42.0,474,26.2,205
1615972762,42.2,476,26.2,205
1615972775,42.5,479,26.3,206
1615972788,43.4,489,26.7,209
1615972808,43.6,492,27.1,212
1615972831,43.6,492,27.1,212
1615972854,44.1,498,27.5,215
1615972878,44.7,504,27.9,218
1615972917,44.7,504,27.9,218
1615972970,45.0,508,28.1,220
1615972986,45.1,509,28.4,222
1615972997,45.3,511,28.8,225
1615973012,45.5,513,29.0,227
1615973028,45.6,514,29.2,228
1615973052,45.9,518,29.9,234
1615973086,46.4,523,30.3,237
1615973111,46.5,525,30.6,239
1615973137,46.7,527,30.8,241
1615973158,47.3,534,31.5,246
1615973201,47.9,540,32.0,250
1615973218,48.6,548,32.7,256
1615973250,51.6,582,34.4,269
1615973266,52.7,594,35.3,276
1615973309,52.7,594,35.3,276
1615973350,53.1,599,35.5,278
1615973390,56.0,632,37.1,290
1615973436,56.4,636,37.6,294
1615973505,57.3,646,38.4,300
1615973623,57.3,646,38.5,301
1615973687,57.3,646,38.5,301
1615973800,57.3,646,38.5,301
1615973846,57.3,646,38.5,301
1615973943,57.4,647,38.6,302
1615973959,57.7,651,39.0,305
1615974073,57.7,651,39.0,305
1615974121,57.7,651,39.0,305
1615974178,57.8,652,39.1,306
1615974206,57.9,653,39.3,307
1615974222,57.9,653,39.3,307
1615974271,58.1,655,39.5,309
1615974330,58.2,656,39.6,310
1615974378,58.3,658,39.9,312
1615974416,58.3,658,39.9,312
1615974493,58.6,661,40.2,314
1615974539,58.7,662,40.3,315
1615974633,58.9,664,40.5,317
1615974839,59.7,673,41.3,323
1615975073,59.7,673,41.3,323
1615975224,59.7,673,41.3,323
1615975390,59.8,674,41.4,324
1615975514,59.8,674,41.4,324
1615975606,59.9,676,41.6,325
1615976097,59.9,676,41.6,325
1615976213,59.9,676,41.6,325
