time,subject,fuzzer,run,cov_type,cov
1615973619,lightftp,aflnet,1,l_abs,641
1615973619,lightftp,aflnet,1,b_per,38.2
1615973619,lightftp,aflnet,1,b_abs,299
1615973773,lightftp,aflnet,1,l_per,56.8
1615973773,lightftp,aflnet,1,l_abs,641
1615973773,lightftp,aflnet,1,b_per,38.4
1615973773,lightftp,aflnet,1,b_abs,300
1615973929,lightftp,aflnet,1,l_per,57.0
1615973929,lightftp,aflnet,1,l_abs,643
1615973929,lightftp,aflnet,1,b_per,38.6
1615973929,lightftp,aflnet,1,b_abs,302
1615974080,lightftp,aflnet,1,l_per,57.4
1615974080,lightftp,aflnet,1,l_abs,647
1615974080,lightftp,aflnet,1,b_per,38.9
1615974080,lightftp,aflnet,1,b_abs,304
1615974120,lightftp,aflnet,1,l_per,57.4
1615974120,lightftp,aflnet,1,l_abs,647
1615974120,lightftp,aflnet,1,b_per,38.9
1615974120,lightftp,aflnet,1,b_abs,304
1615974149,lightftp,aflnet,1,l_per,57.4
1615974149,lightftp,aflnet,1,l_abs,647
1615974149,lightftp,aflnet,1,b_per,38.9
1615974149,lightftp,aflnet,1,b_abs,304
1615974213,lightftp,aflnet,1,l_per,57.4
1615974213,lightftp,aflnet,1,l_abs,647
1615974213,lightftp,aflnet,1,b_per,38.9
1615974213,lightftp,aflnet,1,b_abs,304
1615974260,lightftp,aflnet,1,l_per,57.4
1615974260,lightftp,aflnet,1,l_abs,647
1615974260,lightftp,aflnet,1,b_per,38.9
1615974260,lightftp,aflnet,1,b_abs,304
1615974402,lightftp,aflnet,1,l_per,58.1
1615974402,lightftp,aflnet,1,l_abs,655
1615974402,lightftp,aflnet,1,b_per,39.6
1615974402,lightftp,aflnet,1,b_abs,310
1615974548,lightftp,aflnet,1,l_per,58.4
1615974548,lightftp,aflnet,1,l_abs,659
1615974548,lightftp,aflnet,1,b_per,39.9
1615974548,lightftp,aflnet,1,b_abs,312
1615974808,lightftp,aflnet,1,l_per,58.7
1615974808,lightftp,aflnet,1,l_abs,662
1615974808,lightftp,aflnet,1,b_per,40.0
1615974808,lightftp,aflnet,1,b_abs,313
1615974979,lightftp,aflnet,1,l_per,58.9
1615974979,lightftp,aflnet,1,l_abs,664
1615974979,lightftp,aflnet,1,b_per,40.3
1615974979,lightftp,aflnet,1,b_abs,315
1615975034,lightftp,aflnet,1,l_per,58.9
1615975034,lightftp,aflnet,1,l_abs,664
1615975034,lightftp,aflnet,1,b_per,40.3
1615975034,lightftp,aflnet,1,b_abs,315
1615975132,lightftp,aflnet,1,l_per,59.0
1615975132,lightftp,aflnet,1,l_abs,665
1615975132,lightftp,aflnet,1,b_per,40.4
1615975132,lightftp,aflnet,1,b_abs,316
1615975246,lightftp,aflnet,1,l_per,59.1
1615975246,lightftp,aflnet,1,l_abs,667
1615975246,lightftp,aflnet,1,b_per,40.5
1615975246,lightftp,aflnet,1,b_abs,317
1615975542,lightftp,aflnet,1,l_per,59.3
1615975542,lightftp,aflnet,1,l_abs,669
1615975542,lightftp,aflnet,1,b_per,40.7
1615975542,lightftp,aflnet,1,b_abs,318
1615975836,lightftp,aflnet,1,l_per,59.3
1615975836,lightftp,aflnet,1,l_abs,669
1615975836,lightftp,aflnet,1,b_per,40.7
1615975836,lightftp,aflnet,1,b_abs,318
1615976091,lightftp,aflnet,1,l_per,59.3
1615976091,lightftp,aflnet,1,l_abs,669
1615976091,lightftp,aflnet,1,b_per,40.7
1615976091,lightftp,aflnet,1,b_abs,318
1615976185,lightftp,aflnet,1,l_per,59.3
1615976185,lightftp,aflnet,1,l_abs,669
1615976185,lightftp,aflnet,1,b_per,40.7
1615976185,lightftp,aflnet,1,b_abs,318
1615972661,lightftp,aflnet,2,l_per,37.1
1615972661,lightftp,aflnet,2,l_abs,418
1615972661,lightftp,aflnet,2,b_per,20.8
1615972661,lightftp,aflnet,2,b_abs,163
1615972662,lightftp,aflnet,2,l_per,38.9
1615972662,lightftp,aflnet,2,l_abs,439
1615972662,lightftp,aflnet,2,b_per,23.1
1615972662,lightftp,aflnet,2,b_abs,181
1615972670,lightftp,aflnet,2,l_per,39.8
1615972670,lightftp,aflnet,2,l_abs,449
1615972670,lightftp,aflnet,2,b_per,24.8
1615972670,lightftp,aflnet,2,b_abs,194
1615972677,lightftp,aflnet,2,l_per,40.3
1615972677,lightftp,aflnet,2,l_abs,455
1615972677,lightftp,aflnet,2,b_per,25.3
1615972677,lightftp,aflnet,2,b_abs,198
1615972693,lightftp,aflnet,2,l_per,40.5
1615972693,lightftp,aflnet,2,l_abs,457
1615972693,lightftp,aflnet,2,b_per,25.3
1615972693,lightftp,aflnet,2,b_abs,198
1615972704,lightftp,aflnet,2,l_per,40.7
1615972704,lightftp,aflnet,2,l_abs,459
1615972704,lightftp,aflnet,2,b_per,25.3
1615972704,lightftp,aflnet,2,b_abs,198
1615972735,lightftp,aflnet,2,l_per,41.3
1615972735,lightftp,aflnet,2,l_abs,466
1615972735,lightftp,aflnet,2,b_per,25.7
1615972735,lightftp,aflnet,2,b_abs,201
1615972766,lightftp,aflnet,2,l_per,42.2
1615972766,lightftp,aflnet,2,l_abs,476
1615972766,lightftp,aflnet,2,b_per,26.3
1615972766,lightftp,aflnet,2,b_abs,206
1615972775,lightftp,aflnet,2,l_per,42.8
1615972775,lightftp,aflnet,2,l_abs,483
1615972775,lightftp,aflnet,2,b_per,26.6
1615972775,lightftp,aflnet,2,b_abs,208
1615972782,lightftp,aflnet,2,l_per,42.8
1615972782,lightftp,aflnet,2,l_abs,483
1615972782,lightftp,aflnet,2,b_per,26.6
1615972782,lightftp,aflnet,2,b_abs,208
1615972807,lightftp,aflnet,2,l_per,43.1
1615972807,lightftp,aflnet,2,l_abs,486
1615972807,lightftp,aflnet,2,b_per,26.7
1615972807,lightftp,aflnet,2,b_abs,209
1615972830,lightftp,aflnet,2,l_per,43.4
1615972830,lightftp,aflnet,2,l_abs,489
1615972830,lightftp,aflnet,2,b_per,26.9
1615972830,lightftp,aflnet,2,b_abs,210
1615972850,lightftp,aflnet,2,l_per,43.8
1615972850,lightftp,aflnet,2,l_abs,494
1615972850,lightftp,aflnet,2,b_per,27.1
