Time,l_per,l_abs,b_per,b_abs
1615978453,25.9,292,13.6,106
1615978446,25.9,292,13.6,106
1615978454,26.2,295,14.2,111
1615978458,26.4,298,15.0,117
1615978991,27.1,305,15.3,120
1615978486,28.0,315,15.7,123
1615980100,28.7,323,16.1,126
1615978641,29.5,333,16.5,129
1615980647,30.6,345,17.0,133
1615978716,31.3,353,17.3,135
1615978765,32.3,364,17.9,140
1615978838,34.0,383,19.4,152
1615979677,34.4,388,19.6,153
1615980827,34.8,392,19.9,156
1615980925,35.7,402,20.5,160
1615981017,35.8,403,20.7,162
