Time,l_per,l_abs,b_per,b_abs
1615972661,37.1,418,20.8,163
1615972662,38.9,439,23.1,181
1615972670,39.8,449,24.8,194
1615972677,40.3,455,25.3,198
1615972693,40.5,457,25.3,198
1615972704,40.7,459,25.3,198
1615972735,41.3,466,25.7,201
1615972766,42.2,476,26.3,206
1615972775,42.8,483,26.6,208
1615972782,42.8,483,26.6,208
1615972807,43.1,486,26.7,209
1615972830,43.4,489,26.9,210
1615972850,43.8,494,27.1,212
1615972876,44.2,499,27.2,213
1615972926,44.3,500,27.4,214
1615972955,44.9,506,27.6,216
1615972986,45.1,509,28.3,221
1615972997,45.1,509,28.3,221
1615973010,45.4,512,28.9,226
1615973030,45.7,516,29.4,230
1615973041,45.9,518,29.7,232
1615973075,46.4,523,30.1,235
1615973093,46.5,524,30.3,237
1615973140,46.7,527,30.8,241
1615973173,50.3,567,33.2,260
1615973206,51.6,582,34.1,267
1615973253,51.8,584,34.4,269
1615973263,51.8,584,34.4,269
1615973283,51.8,584,34.4,269
1615973362,52.6,593,34.9,273
1615973382,52.8,596,35.2,275
1615973421,52.9,597,35.3,276
1615973460,52.9,597,35.3,276
1615973527,53.6,605,36.1,282
1615973568,53.6,605,36.1,282
1615973688,53.6,605,36.2,283
1615973777,53.6,605,36.2,283
1615973907,54.5,615,37.1,290
1615974000,54.6,616,37.2,291
1615974070,54.7,617,37.5,293
1615974140,55.0,620,37.6,294
1615974246,55.0,620,37.6,294
1615974282,55.2,623,37.7,295
1615974343,55.3,624,37.9,296
1615974382,55.4,625,38.0,297
1615974428,55.7,628,38.1,298
1615974504,55.7,628,38.1,298
1615974568,55.9,631,38.5,301
1615974604,55.9,631,38.5,301
1615974658,56.2,634,38.9,304
1615974687,56.4,636,39.1,306
1615974876,56.4,636,39.1,306
1615975047,56.6,638,39.4,308
1615975214,57.0,643,39.8,311
1615975380,57.0,643,39.8,311
1615975705,57.2,645,40.0,313
1615975974,57.4,647,40.2,314
1615976175,57.4,647,40.2,314
