Time,l_per,l_abs,b_per,b_abs
1615972661,37.1,418,20.8,163
1615972662,38.9,439,23.1,181
1615972668,39.5,446,24.7,193
1615972675,39.5,446,24.8,194
1615972680,40.6,458,25.4,199
1615972701,41.4,467,25.8,202
1615972711,42.1,475,26.1,204
1615972743,42.2,476,26.2,205
1615972767,42.7,482,26.7,209
1615972779,43.0,485,26.9,210
1615972790,43.3,488,27.0,211
1615972824,43.5,491,27.1,212
1615972845,44.2,499,27.5,215
1615972860,44.2,499,27.5,215
1615972909,44.5,502,27.6,216
1615972928,44.8,505,27.7,217
1615972986,45.3,511,28.0,219
1615973039,46.0,519,28.3,221
1615973058,46.3,522,28.9,226
1615973075,46.3,522,28.9,226
1615973094,46.4,523,29.0,227
1615973118,47.2,532,29.9,234
1615973146,50.9,574,32.2,252
1615973176,51.1,576,32.5,254
1615973220,51.5,581,33.2,260
1615973252,51.8,584,33.4,261
1615973285,52.5,592,33.9,265
1615973312,53.4,602,35.3,276
1615973373,53.4,602,35.3,276
1615973389,53.5,604,35.5,278
1615973427,53.5,604,35.5,278
1615973487,53.5,604,35.5,278
1615973570,54.0,609,36.2,283
1615973607,54.1,610,36.4,285
1615973654,54.3,613,36.8,288
1615973716,54.4,614,37.0,289
1615973775,54.4,614,37.1,290
1615973814,54.5,615,37.2,291
1615973935,54.5,615,37.2,291
1615973994,54.5,615,37.2,291
1615974089,54.6,616,37.3,292
1615974191,55.0,620,37.6,294
1615974313,55.0,620,37.6,294
1615974380,55.1,621,37.7,295
1615974411,55.1,621,37.7,295
1615974487,57.8,652,39.3,307
1615974548,58.1,655,39.6,310
1615974647,58.1,655,39.6,310
1615974998,58.3,658,39.8,311
1615975220,58.3,658,39.8,311
1615975541,58.3,658,39.8,311
1615975658,59.0,666,40.3,315
1615976232,59.1,667,40.4,316
1615976252,59.2,668,40.5,317
